gsubind,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs
20302010,1.9576295621859645,1.9452854616330255,0.2571363159814049,0.24955911831771813,8.00718922162221,91665
30202010,1.3676547446386766,1.3280372716910658,0.256448055002218,0.25327192940365434,5.3394270637014705,26530
15105020,1.3534712308253711,1.341209700677082,0.25402945637476276,0.2530457673670926,5.339164073669162,11891
30101040,1.3909158656601683,1.3682405677853298,0.2522401545911573,0.25134415198568544,5.535696757989549,34639
20304020,1.263838433481132,1.2690192844959567,0.2517646403204477,0.2527966987368929,5.0,103
40201020,1.3760209256511005,1.3578812473804014,0.25067265901397395,0.2541025720550644,5.501996007984032,2004
25201010,1.2754659459556277,1.2612922063596923,0.24967075257139687,0.24816156499125086,5.0971153846153845,4160
20201060,1.8612249347934529,1.9128226056992728,0.2495389360090484,0.24525428859266893,7.661096824867389,92941
60108010,1.6397120775655014,1.5472010006671257,0.2473481607747374,0.2427184304484579,6.630308656300766,17236
30201030,1.4196425023804689,1.404874629063844,0.24400455058097523,0.24380830387348873,5.88078967350038,42144
25201020,1.4735006848366305,1.4568206597106943,0.24370875721165366,0.24040397165328237,6.142255774577877,64377
60104010,2.391364140935945,1.727655536121321,0.2435835461322844,0.224839432333317,9.431756302251834,124876
50201010,1.6714060409994027,1.7068942580681856,0.24289338468502644,0.24406003348278288,7.172037553920325,31528
25502020,1.358148324653404,1.32140480268001,0.2424422996206381,0.241599397739983,5.616458972969719,33222
10102040,2.1158816461274137,1.8627528061620886,0.23925019398313377,0.23457305416705818,9.041995569362395,157088
25301020,2.3784006867169922,2.2296689347623806,0.2334658217114063,0.22001323177437535,10.895878112617158,136782
40301050,1.858620008254807,1.7689293523899112,0.23326280233980298,0.23572514994945326,8.326714607706343,65219
25301030,1.4657576507133434,1.4603916199851368,0.23230407009143764,0.22683218691433862,6.527595073758289,73890
25201050,1.290786775344261,1.2766936308165486,0.231808752446696,0.23361891589953207,5.6250614411639415,30517
20201010,1.3135960208779902,1.2513693736017273,0.22962754819985545,0.2239106465819501,5.756697115878066,38972
25203020,1.3947983955926577,1.3707388091243047,0.22872445714737286,0.22313197215975217,6.160557963319078,69682
