naics,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs,naics_name
311821,1.082215546058674,1.0736081869952292,0.5389605199617602,0.5346739185234177,2.0,3387,Cookie and Cracker Manufacturing
321992,1.0812850529872133,1.0567494264348536,0.5384971196424415,0.5262779881649766,2.0,6296,Prefabricated Wood Building Manufacturing
511120,1.0876292925873665,1.0532681233232168,0.5382025546067898,0.5236028354210294,2.016228748068006,10352,Unknown
335929,1.0799641859438953,1.0664323956834252,0.5378393068887257,0.5311002605486899,2.0,467,Other Communication and Energy Wire Manufacturing
532120,1.079340098286486,1.0688650412136962,0.5375285013291826,0.5323117566361861,2.0,5032,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
3363,1.078601222581633,1.0789965098146008,0.5371605294999799,0.5373573888163985,2.0,212,Unknown
3162,1.0784465906003489,1.0654672997999,0.5370835203188246,0.5306196274797119,2.0,8153,Unknown
333517,1.0784157116840767,1.0706062566879222,0.5370681421283795,0.5331789095806913,2.0,3771,Machine Tool Manufacturing
325320,1.078137668271606,1.0647931527402354,0.5369296720955815,0.5302838915432523,2.0,5192,Pesticide and Other Agricultural Chemical Manufacturing
512110,1.0776365993368595,1.0606604082893631,0.5366801318126027,0.5282257192075996,2.0,29700,Motion Picture and Video Production
327993,1.076849105090987,1.0635984447050606,0.5362879471782495,0.5296889079781155,2.0,4154,Mineral Wool Manufacturing
443112,1.076752631194387,1.0712612769058327,0.5362399016464109,0.5335051200463574,2.0,1146,Unknown
424490,1.0754980200250555,1.0660539545316925,0.5356150853696209,0.5309117908481246,2.0,3783,Other Grocery and Related Products Merchant Wholesalers
311340,1.0749014650353468,1.0519649058545133,0.5353179915156191,0.5238952209711961,2.0,2897,Nonchocolate Confectionery Manufacturing
522299,1.3652194158030282,1.4341657439159432,0.5350736933435276,0.5058633129639825,2.723454414241039,41570,"International, Secondary Market, and All Other Nondepository Credit Intermediation"
3251,1.073613261399387,1.0504221020698354,0.5346764456572344,0.5231268801974776,2.0,4876,Unknown
333314,1.0719553598271978,1.0645228541740537,0.5337572278775152,0.5301301533407499,2.000490436488475,4078,Unknown
333413,1.071660924841621,1.066641515787354,0.5337041510619978,0.5312044056798133,2.0,2010,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
516110,1.0991259016197603,1.0926819115595383,0.5328132411533328,0.540084934304839,2.070239619535394,5467,Radio Broadcasting Stations
333924,1.0686269521521334,1.0649953238797,0.5321931845043363,0.5303845759797714,2.0,230,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
456120,1.0680787710818875,1.050398526617273,0.5319201816300669,0.5231151392478879,2.0,4937,"Cosmetics, Beauty Supplies, and Perfume Retailers"
3252,1.0754982121123797,1.0655423336737584,0.5318749650555545,0.5291937953605194,2.0210167566032378,10563,Unknown
322219,1.0678309037670497,1.0511296646093236,0.5317967397728759,0.523479257573294,2.0,6195,Other Paperboard Container Manufacturing
3352,1.0938747600529721,1.0697303776201026,0.531735897732061,0.5293645980756074,2.070795795795796,13320,Unknown
3222,1.0674153003805293,1.0684113815729221,0.5315897626895097,0.5320858269341339,2.0,1169,Unknown
424720,1.067184240894992,1.0658254262179268,0.5314746913981011,0.5307979801204357,2.0,7026,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
441310,1.0663808932781045,1.0446013854215908,0.5310746115333417,0.5202280709143239,2.0,1414,Unknown
457120,1.065114899203312,1.0532178342811835,0.530444126388951,0.5245191992154309,2.0,97,Other Gasoline Stations
621491,1.0647142210709157,1.051732136504867,0.5302445823190474,0.5237792981403208,2.0,2091,HMO Medical Centers
337121,1.0646387459596156,1.0478223136770184,0.5302069945156023,0.5218321443113724,2.0,1797,Upholstered Household Furniture Manufacturing
522390,1.064306931355725,1.065185191725515,0.5300417455759661,0.5304791331807625,2.0,66,Other Activities Related to Credit Intermediation
332215,1.0641763881385329,1.0476142771736336,0.52997673298169,0.5217285388305197,2.0,1417,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
623312,1.0625455780651938,1.067080883761608,0.5291645636792929,0.5314232179050865,2.0,726,Assisted Living Facilities for the Elderly
324199,1.0624475780523572,1.0542201849634667,0.5291157581173447,0.5250183857655359,2.0,1269,All Other Petroleum and Coal Products Manufacturing
54171,1.6492261810742905,1.6922911846483095,0.5287822935595445,0.5223720346325182,3.1999210110584517,12660,Unknown
315220,1.0617742091239308,1.0559366513669284,0.5287804097025924,0.5258732132799585,2.0,3159,Unknown
336310,1.0616162959712034,1.0514163914516894,0.5287017664459763,0.5236220520920121,2.0,2424,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
325,1.0616031168431146,1.0479568311759244,0.5286952030309955,0.5218991361610259,2.0,11291,Unknown
522210,1.3592837472100452,1.3007978045716655,0.5285374428138934,0.5252791282227283,2.6375552113807146,34866,Credit Card Issuing
322110,1.0610839596930883,1.059052000061299,0.5284366545296928,0.5274247063797342,2.0,1229,Pulp Mills
